clip_id,has_audio
2,False
6,False
10,False
11,False
12,False
14,False
19,False
21,False
23,False
29,False
33,False
37,False
38,False
40,False
44,False
48,False
49,False
50,False
51,False
53,False
61,False
63,False
64,False
66,False
67,False
71,False
73,False
74,False
76,False
78,False
79,False
80,False
81,False
82,False
84,False
85,False
90,False
91,False
92,False
94,False
97,False
98,False
99,False
101,False
105,False
115,False
117,False
119,False
120,False
122,False
123,False
125,False
127,False
128,False
131,False
133,False
134,False
139,False
141,False
144,False
145,False
146,False
147,False
148,False
150,False
151,False
154,False
157,False
158,False
163,False
165,False
166,False
169,False
171,False
172,False
174,False
175,False
177,False
178,False
180,False
181,False
184,False
186,False
188,False
190,False
191,False
195,False
198,False
199,False
202,False
204,False
205,False
206,False
207,False
208,False
213,False
219,False
224,False
227,False
232,False
234,False
235,False
238,False
239,False
241,False
244,False
252,False
253,False
255,False
283,False
284,False
285,False
287,False
289,False
290,False
293,False
295,False
297,False
299,False
300,False
301,False
305,False
306,False
308,False
309,False
310,False
327,False
329,False
333,False
342,False
347,False
354,False
362,False
364,False
367,False
368,False
369,False
372,False
376,False
379,False
382,False
392,False
393,False
396,False
399,False
403,False
405,False
408,False
410,False
412,False
422,False
426,False
429,False
436,False
438,False
440,False
441,False
447,False
451,False
452,False
457,False
458,False
460,False
462,False
468,False
470,False
473,False
474,False
477,False
479,False
484,False
485,False
487,False
488,False
493,False
494,False
497,False
499,False
502,False
503,False
504,False
511,False
513,False
515,False
518,False
519,False
525,False
527,False
528,False
530,False
534,False
537,False
538,False
539,False
540,False
541,False
542,False
544,False
558,False
559,False
561,False
563,False
564,False
566,False
568,False
579,False
581,False
582,False
583,False
586,False
587,False
589,False
596,False
597,False
598,False
599,False
601,False
603,False
604,False
605,False
612,False
613,False
616,False
617,False
618,False
620,False
621,False
623,False
624,False
625,False
628,False
633,False
637,False
638,False
640,False
642,False
643,False
648,False
649,False
651,False
655,False
657,False
663,False
667,False
668,False
670,False
671,False
673,False
675,False
676,False
683,False
686,False
687,False
688,False
689,False
691,False
692,False
693,False
695,False
696,False
697,False
699,False
700,False
702,False
703,False
707,False
708,False
710,False
712,False
714,False
716,False
721,False
732,False
733,False
734,False
735,False
740,False
741,False
745,False
751,False
752,False
778,False
779,False
781,False
783,False
785,False
791,False
792,False
793,False
798,False
803,False
804,False
805,False
806,False
807,False
808,False
810,False
813,False
817,False
819,False
830,False
831,False
833,False
834,False
836,False
837,False
838,False
841,False
852,False
853,False
860,False
866,False
867,False
869,False
872,False
873,False
874,False
879,False
892,False
901,False
902,False
904,False
907,False
909,False
911,False
913,False
914,False
915,False
918,False
919,False
920,False
921,False
923,False
925,False
927,False
928,False
931,False
933,False
934,False
935,False
936,False
940,False
941,False
942,False
967,False
968,False
969,False
970,False
1037,False
1039,False
1040,False
1044,False
1064,False
1070,False
1071,False
1074,False
1078,False
1080,False
1082,False
1083,False
1086,False
1088,False
1089,False
1090,False
1091,False
1092,False
1100,False
1103,False
1104,False
1108,False
1110,False
1112,False
1113,False
1114,False
1116,False
1119,False
1121,False
1123,False
1124,False
1128,False
1129,False
1131,False
1133,False
1136,False
1137,False
1138,False
1141,False
1142,False
1145,False
1146,False
1150,False
1151,False
1152,False
1153,False
1156,False
1158,False
1161,False
1163,False
1166,False
1167,False
1185,False
1188,False
1190,False
1191,False
1192,False
1198,False
1201,False
1202,False
1206,False
1209,False
1211,False
1212,False
1213,False
1215,False
1218,False
1219,False
1222,False
1223,False
1224,False
1225,False
1226,False
1230,False
1231,False
1236,False
1237,False
1241,False
1242,False
1243,False
1264,False
1268,False
1269,False
1271,False
